original_name,refactored_name,type,full_name,namespace,package,toolkit
BRepBuilderAPI_PipeError,,Enum,BRepBuilderAPI_PipeError,,BRepBuilderAPI,TKTopAlgo
BRepBuilderAPI_ShapeModification,,Enum,BRepBuilderAPI_ShapeModification,,BRepBuilderAPI,TKTopAlgo
BRepBuilderAPI_ShellError,,Enum,BRepBuilderAPI_ShellError,,BRepBuilderAPI,TKTopAlgo
BRepBuilderAPI_TransitionMode,,Enum,BRepBuilderAPI_TransitionMode,,BRepBuilderAPI,TKTopAlgo
BRepBuilderAPI_WireError,,Enum,BRepBuilderAPI_WireError,,BRepBuilderAPI,TKTopAlgo
BRepCheck_Status,,Enum,BRepCheck_Status,,BRepCheck,TKTopAlgo
BRepExtrema_SupportType,,Enum,BRepExtrema_SupportType,,BRepExtrema,TKTopAlgo
BRepFeat_PerfSelection,,Enum,BRepFeat_PerfSelection,,BRepFeat,TKFeat
BRepFeat_Status,,Enum,BRepFeat_Status,,BRepFeat,TKFeat
BRepFeat_StatusError,,Enum,BRepFeat_StatusError,,BRepFeat,TKFeat
BRepFill_ThruSectionErrorStatus,,Enum,BRepFill_ThruSectionErrorStatus,,BRepFill,TKBool
BRepFill_TransitionStyle,,Enum,BRepFill_TransitionStyle,,BRepFill,TKBool
BRepFill_TypeOfContact,,Enum,BRepFill_TypeOfContact,,BRepFill,TKBool
BRepGProp_GaussType,,Enum,BRepGProp_GaussType,,BRepGProp,TKTopAlgo
BRepGProp_GaussType,,Enum,BRepGProp_GaussType,,BRepGProp,TKTopAlgo
BRepGProp_MeshObjType,,Enum,BRepGProp_MeshObjType,,BRepGProp,TKTopAlgo
BRepGProp_MeshObjType,,Enum,BRepGProp_MeshObjType,,BRepGProp,TKTopAlgo
BRepLib_EdgeError,,Enum,BRepLib_EdgeError,,BRepLib,TKTopAlgo
BRepLib_FaceError,,Enum,BRepLib_FaceError,,BRepLib,TKTopAlgo
BRepLib_ShapeModification,,Enum,BRepLib_ShapeModification,,BRepLib,TKTopAlgo
BRepLib_ShellError,,Enum,BRepLib_ShellError,,BRepLib,TKTopAlgo
BRepLib_WireError,,Enum,BRepLib_WireError,,BRepLib,TKTopAlgo
BRepMesh_DegreeOfFreedom,,Enum,BRepMesh_DegreeOfFreedom,,BRepMesh,TKMesh
BRepMesh_FactoryError,,Enum,BRepMesh_FactoryError,,BRepMesh,TKMesh
BRepOffsetSimple_Status,,Enum,BRepOffsetSimple_Status,,BRepOffsetSimple,Unknown
BRepOffset_Error,,Enum,BRepOffset_Error,,BRepOffset,TKOffset
BRepOffset_Mode,,Enum,BRepOffset_Mode,,BRepOffset,TKOffset
BRepOffset_Status,,Enum,BRepOffset_Status,,BRepOffset,TKOffset
BRepPrim_Direction,,Enum,BRepPrim_Direction,,BRepPrim,TKPrim
BSplCLib_KnotDistribution,,Enum,BSplCLib_KnotDistribution,,BSplCLib,TKMath
BSplCLib_MultDistribution,,Enum,BSplCLib_MultDistribution,,BSplCLib,TKMath
BVHSubset,,Enum,BVHSubset,,BVHSubset,Unknown
BVH_PrjStateInTriangle,,Enum,BVH_PrjStateInTriangle,,BVH,TKMath
BiTgte_ContactType,,Enum,BiTgte_ContactType,,BiTgte,TKOffset
BinDrivers_Marker,,Enum,BinDrivers_Marker,,BinDrivers,TKBin
BinLDrivers_Marker,,Enum,BinLDrivers_Marker,,BinLDrivers,TKBinL
BinTools_FormatVersion,,Enum,BinTools_FormatVersion,,BinTools,TKBRep
BinTools_ObjectType,,Enum,BinTools_ObjectType,,BinTools,TKBRep
BlendFunc_SectionShape,,Enum,BlendFunc_SectionShape,,BlendFunc,TKFillet
Blend_DecrochStatus,,Enum,Blend_DecrochStatus,,Blend,TKFillet
Blend_Status,,Enum,Blend_Status,,Blend,TKFillet
CDF_StoreSetNameStatus,,Enum,CDF_StoreSetNameStatus,,CDF,TKCDF
CDF_SubComponentStatus,,Enum,CDF_SubComponentStatus,,CDF,TKCDF
CDF_TryStoreStatus,,Enum,CDF_TryStoreStatus,,CDF,TKCDF
CDF_TypeOfActivation,,Enum,CDF_TypeOfActivation,,CDF,TKCDF
CDM_CanCloseStatus,,Enum,CDM_CanCloseStatus,,CDM,TKCDF
CSLib_DerivativeStatus,,Enum,CSLib_DerivativeStatus,,CSLib,TKMath
